Group	Sample	cd4_subcluster	.n	.frac
Treatment naive	P6_pre	s10	11	0.0161290322580645
Treatment naive	P6_pre	s11	9	0.0131964809384164
Treatment naive	P6_pre	s12	1	0.00146627565982405
Treatment naive	P7_pre	s1	44	0.263473053892216
Treatment naive	P7_pre	s2	12	0.0718562874251497
Treatment naive	P7_pre	s3	29	0.173652694610778
Treatment naive	P7_pre	s4	1	0.00598802395209581
Treatment naive	P7_pre	s5	16	0.0958083832335329
Treatment naive	P7_pre	s6	4	0.0239520958083832
Treatment naive	P7_pre	s7	8	0.0479041916167665
Treatment naive	P7_pre	s8	17	0.101796407185629
Treatment naive	P7_pre	s9	7	0.0419161676646707
Treatment naive	P7_pre	s10	23	0.137724550898204
Treatment naive	P7_pre	s11	4	0.0239520958083832
Treatment naive	P7_pre	s12	2	0.0119760479041916
Treatment naive	P8_pre	s1	92	0.209567198177677
Treatment naive	P8_pre	s2	25	0.0569476082004556
Treatment naive	P8_pre	s3	105	0.239179954441913
Treatment naive	P8_pre	s4	15	0.0341685649202733
Treatment naive	P8_pre	s5	16	0.0364464692482916
Treatment naive	P8_pre	s6	13	0.0296127562642369
Treatment naive	P8_pre	s7	23	0.0523917995444191
Treatment naive	P8_pre	s8	29	0.0660592255125285
Treatment naive	P8_pre	s9	11	0.0250569476082005
Treatment naive	P8_pre	s10	100	0.227790432801822
Treatment naive	P8_pre	s11	9	0.020501138952164
Treatment naive	P8_pre	s12	1	0.00227790432801822
Treatment naive	P9_pre	s1	38	0.129251700680272
Treatment naive	P9_pre	s2	55	0.187074829931973
Treatment naive	P9_pre	s3	26	0.0884353741496599
Treatment naive	P9_pre	s4	7	0.0238095238095238
Treatment naive	P9_pre	s5	36	0.122448979591837
Treatment naive	P9_pre	s6	32	0.108843537414966
Treatment naive	P9_pre	s7	28	0.0952380952380952
Treatment naive	P9_pre	s8	14	0.0476190476190476
Treatment naive	P9_pre	s9	11	0.0374149659863946
Treatment naive	P9_pre	s10	38	0.129251700680272
Treatment naive	P9_pre	s11	2	0.00680272108843537
Treatment naive	P9_pre	s12	7	0.0238095238095238
